OBS.: PCD com horario UTC!
cod.estacao;nome;municipio;uf;latitude;longitude;datahora;sensor;valor;qualificacao;offset
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 00:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 00:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 01:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 01:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 02:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 02:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 03:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 03:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 04:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 04:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 05:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 05:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 06:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 06:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 07:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 07:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 08:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 08:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 09:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 09:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 10:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 10:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 11:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 11:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 12:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 12:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 13:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 13:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 14:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 14:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 15:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 15:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 16:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 16:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 17:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 17:00:00;intensidade_precipitacao;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 18:00:00;chuva;0.0;0000;
420570401A;Estrada Geral Gamboa;GAROPABA;SC;-27.953;-48.629;2023-08-17 18:00:00;intensidade_precipitacao;0.0;0000;
OBS.: PCD com horario UTC!
cod.estacao;nome;municipio;uf;latitude;longitude;datahora;sensor;valor;qualificacao;offset
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 00:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 00:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 01:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 01:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 02:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 02:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 03:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 03:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 04:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 04:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 05:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 05:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 06:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 06:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 07:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 07:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 08:00:00;intensidade_precipitacao;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 08:00:00;chuva;0.0;0000;
420570402A;Campo D Una;GAROPABA;SC;-28.102;-48.674;2023-08-17 09:00:00;intensidade_precipitacao;0.0;0000;
